"","Gene_symbol","   Genes","Freq"
"1","T","T, brachyury homolog (mouse)","7208"
"2","CD4","CD4 molecule","88"
"3","MSC","musculin","79"
"4","TNF","tumor necrosis factor","54"
"5","CCS","copper chaperone for superoxide dismutase","52"
"6","CP","ceruloplasmin (ferroxidase)","49"
"7","SCD","stearoyl-CoA desaturase (delta-9-desaturase)","40"
"8","CS","citrate synthase","36"
"9","CCL5","chemokine (C-C motif) ligand 5","31"
"10","CCR5","chemokine (C-C motif) receptor 5 (gene/pseudogene)","31"
"11","NLRP3","NLR family, pyrin domain containing 3","31"
"12","HR","hair growth associated","29"
"13","MIF","macrophage migration inhibitory factor (glycosylation-inhibiting factor)","27"
"14","CCL2","chemokine (C-C motif) ligand 2","25"
"15","EMB","embigin","25"
"16","SI","sucrase-isomaltase (alpha-glucosidase)","25"
"17","PC","pyruvate carboxylase","23"
"18","TLR2","toll-like receptor 2","23"
"19","PAH","phenylalanine hydroxylase","22"
"20","ACD","adrenocortical dysplasia homolog (mouse)","21"
"21","CRP","C-reactive protein, pentraxin-related","20"
"22","STAT3","signal transducer and activator of transcription 3 (acute-phase response factor)","20"
"23","ADA","adenosine deaminase","19"
"24","ACE","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1","18"
"25","CD86","CD86 molecule","18"
"26","CXCR3","chemokine (C-X-C motif) receptor 3","17"
"27","GC","group-specific component (vitamin D binding protein)","17"
"28","HMGB1","high mobility group box 1","17"
"29","IL10","interleukin 10","17"
"30","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","16"
"31","NHS","Nance-Horan syndrome (congenital cataracts and dental anomalies)","16"
"32","VIP","vasoactive intestinal peptide","16"
"33","CD80","CD80 molecule","15"
"34","GPI","glucose-6-phosphate isomerase","15"
"35","PRL","prolactin","15"
"36","TLR4","toll-like receptor 4","15"
"37","ABCB1","ATP-binding cassette, sub-family B (MDR/TAP), member 1","14"
"38","HP","haptoglobin","14"
"39","BDNF","brain-derived neurotrophic factor","13"
"40","CXCL10","chemokine (C-X-C motif) ligand 10","13"
"41","TLR9","toll-like receptor 9","12"
"42","HLA-B","major histocompatibility complex, class I, B","11"
"43","IFNG","interferon, gamma","11"
"44","IL17A","interleukin 17A","11"
"45","KY","kyphoscoliosis peptidase","11"
"46","NGF","nerve growth factor (beta polypeptide)","11"
"47","NOS2","nitric oxide synthase 2, inducible","11"
