"","Gene_symbol","   Genes","Freq"
"1","T","T, brachyury homolog (mouse)","208"
"2","ADC","arginine decarboxylase","29"
"3","CP","ceruloplasmin (ferroxidase)","20"
"4","TLR2","toll-like receptor 2","20"
"5","TLR4","toll-like receptor 4","18"
"6","EPC1","enhancer of polycomb homolog 1 (Drosophila)","13"
"7","CRP","C-reactive protein, pentraxin-related","12"
"8","PC","pyruvate carboxylase","11"
"9","ALB","albumin","10"
"10","CS","citrate synthase","10"
"11","ERAS","ES cell expressed Ras","9"
"12","SCT","secretin","8"
"13","CAT","catalase","7"
"14","CD28","CD28 molecule","7"
"15","CD44","CD44 molecule (Indian blood group)","7"
"16","HLA-G","major histocompatibility complex, class I, G","7"
"17","NHS","Nance-Horan syndrome (congenital cataracts and dental anomalies)","7"
"18","TRD","T cell receptor delta locus","7"
"19","CD34","CD34 molecule","6"
"20","CD68","CD68 molecule","6"
"21","CD80","CD80 molecule","6"
"22","CD86","CD86 molecule","6"
"23","HLA-DRB1","major histocompatibility complex, class II, DR beta 1","6"
"24","IL4","interleukin 4","6"
"25","NRL","neural retina leucine zipper","6"
"26","PCNA","proliferating cell nuclear antigen","6"
"27","SHD","Src homology 2 domain containing transforming protein D","6"
"28","SI","sucrase-isomaltase (alpha-glucosidase)","6"
"29","ADAM33","ADAM metallopeptidase domain 33","5"
"30","ASAH1","N-acylsphingosine amidohydrolase (acid ceramidase) 1","5"
"31","CD5","CD5 molecule","5"
"32","CD6","CD6 molecule","5"
"33","LGALS4","lectin, galactoside-binding, soluble, 4","5"
"34","MVD","mevalonate (diphospho) decarboxylase","5"
"35","CD4","CD4 molecule","4"
"36","CD40","CD40 molecule, TNF receptor superfamily member 5","4"
"37","CD160","CD160 molecule","4"
"38","FH","fumarate hydratase","4"
"39","MMP2","matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)","4"
"40","S100A12","S100 calcium binding protein A12","4"
"41","ACTA2","actin, alpha 2, smooth muscle, aorta","3"
"42","C5","complement component 5","3"
"43","COL3A1","collagen, type III, alpha 1","3"
"44","GAPDH","glyceraldehyde-3-phosphate dehydrogenase","3"
"45","HMGB1","high mobility group box 1","3"
"46","IL10","interleukin 10","3"
"47","MMP9","matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)","3"
"48","MVP","major vault protein","3"
"49","PON1","paraoxonase 1","3"
"50","S100A8","S100 calcium binding protein A8","3"
"51","S100A9","S100 calcium binding protein A9","3"
"52","VIP","vasoactive intestinal peptide","3"
"53","ACE","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1","2"
"54","AR","androgen receptor","2"
"55","BID","BH3 interacting domain death agonist","2"
"56","CD14","CD14 molecule","2"
"57","CD69","CD69 molecule","2"
"58","CYP3A4","cytochrome P450, family 3, subfamily A, polypeptide 4","2"
"59","DHFR","dihydrofolate reductase","2"
"60","EGF","epidermal growth factor","2"
"61","F2","coagulation factor II (thrombin)","2"
"62","FAP","fibroblast activation protein, alpha","2"
"63","GC","group-specific component (vitamin D binding protein)","2"
"64","HR","hair growth associated","2"
"65","IKBKE","inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon","2"
"66","IL2","interleukin 2","2"
"67","KLF4","Kruppel-like factor 4 (gut)","2"
"68","MB","myoglobin","2"
"69","RPS9","ribosomal protein S9","2"
"70","TBP","TATA box binding protein","2"
"71","TIGIT","T cell immunoreceptor with Ig and ITIM domains","2"
"72","TNF","tumor necrosis factor","2"
"73","ZP3","zona pellucida glycoprotein 3 (sperm receptor)","2"
"74","AFP","alpha-fetoprotein","1"
"75","ANXA2","annexin A2","1"
"76","AQP1","aquaporin 1 (Colton blood group)","1"
"77","AQP9","aquaporin 9","1"
"78","BMP2","bone morphogenetic protein 2","1"
"79","C2","complement component 2","1"
"80","C3","complement component 3","1"
"81","C6","complement component 6","1"
"82","CAD","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase","1"
"83","CCL24","chemokine (C-C motif) ligand 24","1"
"84","CCR3","chemokine (C-C motif) receptor 3","1"
"85","CCR5","chemokine (C-C motif) receptor 5 (gene/pseudogene)","1"
"86","CD19","CD19 molecule","1"
"87","CD83","CD83 molecule","1"
"88","CD163","CD163 molecule","1"
"89","CIT","citron (rho-interacting, serine/threonine kinase 21)","1"
"90","CRYAB","crystallin, alpha B","1"
"91","CTLA4","cytotoxic T-lymphocyte-associated protein 4","1"
"92","CYP2D6","cytochrome P450, family 2, subfamily D, polypeptide 6","1"
"93","EGFR","epidermal growth factor receptor","1"
"94","EZR","ezrin","1"
"95","FGL2","fibrinogen-like 2","1"
"96","FST","follistatin","1"
"97","GATA3","GATA binding protein 3","1"
"98","HLA-A","major histocompatibility complex, class I, A","1"
"99","HLA-DQB1","major histocompatibility complex, class II, DQ beta 1","1"
"100","HLA-E","major histocompatibility complex, class I, E","1"
"101","HSPA1B","heat shock 70kDa protein 1B","1"
"102","IL6","interleukin 6 (interferon, beta 2)","1"
"103","MIP","major intrinsic protein of lens fiber","1"
"104","MOS","v-mos Moloney murine sarcoma viral oncogene homolog","1"
"105","NDUFV2","NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa","1"
"106","NOS2","nitric oxide synthase 2, inducible","1"
"107","NR1I3","nuclear receptor subfamily 1, group I, member 3","1"
"108","PHB","prohibitin","1"
"109","PRKAR2A","protein kinase, cAMP-dependent, regulatory, type II, alpha","1"
"110","PTMS","parathymosin","1"
"111","REST","RE1-silencing transcription factor","1"
"112","RPL13","ribosomal protein L13","1"
"113","SERPINA1","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1","1"
"114","SERPINC1","serpin peptidase inhibitor, clade C (antithrombin), member 1","1"
"115","SLC25A24","solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24","1"
"116","SLN","sarcolipin","1"
"117","SOX2","SRY (sex determining region Y)-box 2","1"
"118","SP2","Sp2 transcription factor","1"
"119","STAT3","signal transducer and activator of transcription 3 (acute-phase response factor)","1"
"120","TF","transferrin","1"
"121","TICAM2","toll-like receptor adaptor molecule 2","1"
"122","YWHAB","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide","1"
"123","YWHAZ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide","1"
