"","Gene_symbol","   Genes","Freq"
"1","T","T, brachyury homolog (mouse)","36"
"2","ADC","arginine decarboxylase","7"
"3","PDF","peptide deformylase (mitochondrial)","7"
"4","ADA","adenosine deaminase","6"
"5","CD14","CD14 molecule","6"
"6","STAT3","signal transducer and activator of transcription 3 (acute-phase response factor)","6"
"7","GAPDH","glyceraldehyde-3-phosphate dehydrogenase","5"
"8","IL4","interleukin 4","5"
"9","PDCD4","programmed cell death 4 (neoplastic transformation inhibitor)","5"
"10","C2","complement component 2","4"
"11","CCL3","chemokine (C-C motif) ligand 3","4"
"12","CD4","CD4 molecule","4"
"13","TLR2","toll-like receptor 2","4"
"14","CAT","catalase","3"
"15","CD68","CD68 molecule","3"
"16","CP","ceruloplasmin (ferroxidase)","3"
"17","FH","fumarate hydratase","3"
"18","NHS","Nance-Horan syndrome (congenital cataracts and dental anomalies)","3"
"19","NLRP3","NLR family, pyrin domain containing 3","3"
"20","TLR4","toll-like receptor 4","3"
"21","AR","androgen receptor","2"
"22","C7","complement component 7","2"
"23","CD83","CD83 molecule","2"
"24","CS","citrate synthase","2"
"25","EPC1","enhancer of polycomb homolog 1 (Drosophila)","2"
"26","F5","coagulation factor V (proaccelerin, labile factor)","2"
"27","FST","follistatin","2"
"28","ICAM1","intercellular adhesion molecule 1","2"
"29","PRKAR1A","protein kinase, cAMP-dependent, regulatory, type I, alpha","2"
"30","STAT6","signal transducer and activator of transcription 6, interleukin-4 induced","2"
"31","TES","testis derived transcript (3 LIM domains)","2"
"32","ALCAM","activated leukocyte cell adhesion molecule","1"
"33","ARID1A","AT rich interactive domain 1A (SWI-like)","1"
"34","BAP1","BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)","1"
"35","C6","complement component 6","1"
"36","CASP1","caspase 1, apoptosis-related cysteine peptidase","1"
"37","CD80","CD80 molecule","1"
"38","CD86","CD86 molecule","1"
"39","CD163","CD163 molecule","1"
"40","CFI","complement factor I","1"
"41","CTRL","chymotrypsin-like","1"
"42","EGR1","early growth response 1","1"
"43","F2","coagulation factor II (thrombin)","1"
"44","F3","coagulation factor III (thromboplastin, tissue factor)","1"
"45","FABP1","fatty acid binding protein 1, liver","1"
"46","FABP3","fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)","1"
"47","GC","group-specific component (vitamin D binding protein)","1"
"48","GNAS","GNAS complex locus","1"
"49","IFNA1","interferon, alpha 1","1"
"50","IL2","interleukin 2","1"
"51","IRF3","interferon regulatory factor 3","1"
"52","KRAS","v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog","1"
"53","MB","myoglobin","1"
"54","MLL3","myeloid/lymphoid or mixed-lineage leukemia 3","1"
"55","NID2","nidogen 2 (osteonidogen)","1"
"56","NLRP1","NLR family, pyrin domain containing 1","1"
"57","PEG3","paternally expressed 3","1"
"58","RNF43","ring finger protein 43","1"
"59","ROBO2","roundabout, axon guidance receptor, homolog 2 (Drosophila)","1"
"60","SI","sucrase-isomaltase (alpha-glucosidase)","1"
"61","SMAD4","SMAD family member 4","1"
"62","SOCS3","suppressor of cytokine signaling 3","1"
"63","STAT1","signal transducer and activator of transcription 1, 91kDa","1"
"64","STAT2","signal transducer and activator of transcription 2, 113kDa","1"
"65","STAT4","signal transducer and activator of transcription 4","1"
"66","TBK1","TANK-binding kinase 1","1"
"67","TICAM1","toll-like receptor adaptor molecule 1","1"
"68","TLR1","toll-like receptor 1","1"
"69","TLR6","toll-like receptor 6","1"
"70","TLR8","toll-like receptor 8","1"
"71","TLR9","toll-like receptor 9","1"
"72","TLR10","toll-like receptor 10","1"
"73","TNF","tumor necrosis factor","1"
"74","TP53","tumor protein p53","1"
"75","TRAF6","TNF receptor-associated factor 6, E3 ubiquitin protein ligase","1"
"76","YWHAE","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide","1"
