"","Gene_symbol","   Genes","Freq"
"1","T","T, brachyury homolog (mouse)","1139"
"2","APOL1","apolipoprotein L, 1","84"
"3","AQP2","aquaporin 2 (collecting duct)","16"
"4","HLA-G","major histocompatibility complex, class I, G","14"
"5","HPR","haptoglobin-related protein","10"
"6","CXCL10","chemokine (C-X-C motif) ligand 10","9"
"7","IL6","interleukin 6 (interferon, beta 2)","8"
"8","CP","ceruloplasmin (ferroxidase)","7"
"9","GK","glycerol kinase","7"
"10","CAT","catalase","6"
"11","HP","haptoglobin","6"
"12","MIF","macrophage migration inhibitory factor (glycosylation-inhibiting factor)","6"
"13","BTD","biotinidase","5"
"14","FST","follistatin","5"
"15","MYH9","myosin, heavy chain 9, non-muscle","5"
"16","PTS","6-pyruvoyltetrahydropterin synthase","5"
"17","ABR","active BCR-related","4"
"18","CXCL13","chemokine (C-X-C motif) ligand 13","4"
"19","GMPS","guanine monphosphate synthetase","4"
"20","IL4","interleukin 4","4"
"21","NHS","Nance-Horan syndrome (congenital cataracts and dental anomalies)","4"
"22","AQP3","aquaporin 3 (Gill blood group)","3"
"23","DHFR","dihydrofolate reductase","3"
"24","IL1RN","interleukin 1 receptor antagonist","3"
"25","IL4R","interleukin 4 receptor","3"
"26","IL8","interleukin 8","3"
"27","IL10","interleukin 10","3"
"28","UBA1","ubiquitin-like modifier activating enzyme 1","3"
"29","UBP1","upstream binding protein 1 (LBP-1a)","3"
"30","APOL3","apolipoprotein L, 3","2"
"31","C6","complement component 6","2"
"32","CDK2","cyclin-dependent kinase 2","2"
"33","CFH","complement factor H","2"
"34","CPSF3","cleavage and polyadenylation specific factor 3, 73kDa","2"
"35","CRP","C-reactive protein, pentraxin-related","2"
"36","CYP1A1","cytochrome P450, family 1, subfamily A, polypeptide 1","2"
"37","DARC","Duffy blood group, chemokine receptor","2"
"38","DCTD","dCMP deaminase","2"
"39","EGFR","epidermal growth factor receptor","2"
"40","EPO","erythropoietin","2"
"41","GPI","glucose-6-phosphate isomerase","2"
"42","HLA-A","major histocompatibility complex, class I, A","2"
"43","IL1A","interleukin 1, alpha","2"
"44","IL1B","interleukin 1, beta","2"
"45","IL12B","interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)","2"
"46","IPMK","inositol polyphosphate multikinase","2"
"47","MCAM","melanoma cell adhesion molecule","2"
"48","MPO","myeloperoxidase","2"
"49","PCNA","proliferating cell nuclear antigen","2"
"50","PEX16","peroxisomal biogenesis factor 16","2"
"51","SDS","serine dehydratase","2"
"52","SI","sucrase-isomaltase (alpha-glucosidase)","2"
"53","SSNA1","Sjogren syndrome nuclear autoantigen 1","2"
"54","STAT1","signal transducer and activator of transcription 1, 91kDa","2"
"55","STH","saitohin","2"
"56","TSLP","thymic stromal lymphopoietin","2"
"57","AAK1","AP2 associated kinase 1","1"
"58","APOBEC3G","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G","1"
"59","AR","androgen receptor","1"
"60","BRCA1","breast cancer 1, early onset","1"
"61","C2","complement component 2","1"
"62","C7","complement component 7","1"
"63","CCL8","chemokine (C-C motif) ligand 8","1"
"64","CCL19","chemokine (C-C motif) ligand 19","1"
"65","CCL21","chemokine (C-C motif) ligand 21","1"
"66","CCL27","chemokine (C-C motif) ligand 27","1"
"67","CD40","CD40 molecule, TNF receptor superfamily member 5","1"
"68","CD80","CD80 molecule","1"
"69","CD86","CD86 molecule","1"
"70","CRK","v-crk sarcoma virus CT10 oncogene homolog (avian)","1"
"71","CXCL12","chemokine (C-X-C motif) ligand 12","1"
"72","CYP1A2","cytochrome P450, family 1, subfamily A, polypeptide 2","1"
"73","CYP1B1","cytochrome P450, family 1, subfamily B, polypeptide 1","1"
"74","CYP3A4","cytochrome P450, family 3, subfamily A, polypeptide 4","1"
"75","CYP4F2","cytochrome P450, family 4, subfamily F, polypeptide 2","1"
"76","DNAI1","dynein, axonemal, intermediate chain 1","1"
"77","ECD","ecdysoneless homolog (Drosophila)","1"
"78","HDC","histidine decarboxylase","1"
"79","HLA-B","major histocompatibility complex, class I, B","1"
"80","IFNG","interferon, gamma","1"
"81","IL12RB1","interleukin 12 receptor, beta 1","1"
"82","LCT","lactase","1"
"83","MARCO","macrophage receptor with collagenous structure","1"
"84","MCU","mitochondrial calcium uniporter","1"
"85","MSC","musculin","1"
"86","REL","v-rel reticuloendotheliosis viral oncogene homolog (avian)","1"
"87","SCD","stearoyl-CoA desaturase (delta-9-desaturase)","1"
"88","STAT3","signal transducer and activator of transcription 3 (acute-phase response factor)","1"
"89","TNF","tumor necrosis factor","1"
