"","Gene_symbol","   Genes","Freq"
"1","T","T, brachyury homolog (mouse)","1454"
"2","CD4","CD4 molecule","128"
"3","TLR2","toll-like receptor 2","103"
"4","TLR4","toll-like receptor 4","98"
"5","SLA","Src-like-adaptor","84"
"6","TNF","tumor necrosis factor","81"
"7","CS","citrate synthase","63"
"8","DDT","D-dopachrome tautomerase","59"
"9","TLR9","toll-like receptor 9","55"
"10","CD40","CD40 molecule, TNF receptor superfamily member 5","36"
"11","NLRP3","NLR family, pyrin domain containing 3","32"
"12","SI","sucrase-isomaltase (alpha-glucosidase)","31"
"13","SAG","S-antigen; retina and pineal gland (arrestin)","27"
"14","CXCL10","chemokine (C-X-C motif) ligand 10","26"
"15","GC","group-specific component (vitamin D binding protein)","26"
"16","SLC11A1","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1","25"
"17","CD86","CD86 molecule","23"
"18","MB","myoglobin","23"
"19","HP","haptoglobin","22"
"20","AQP1","aquaporin 1 (Colton blood group)","21"
"21","CCL2","chemokine (C-C motif) ligand 2","21"
"22","CCR7","chemokine (C-C motif) receptor 7","21"
"23","CRP","C-reactive protein, pentraxin-related","21"
"24","NOS2","nitric oxide synthase 2, inducible","21"
"25","CIC","capicua transcriptional repressor","20"
"26","ADA","adenosine deaminase","19"
"27","F3","coagulation factor III (thromboplastin, tissue factor)","19"
"28","CP","ceruloplasmin (ferroxidase)","18"
"29","CCR5","chemokine (C-C motif) receptor 5 (gene/pseudogene)","17"
"30","DLL1","delta-like 1 (Drosophila)","17"
"31","NHS","Nance-Horan syndrome (congenital cataracts and dental anomalies)","17"
"32","CCL5","chemokine (C-C motif) ligand 5","16"
"33","CD28","CD28 molecule","16"
"34","CD163","CD163 molecule","16"
"35","SPR","sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)","16"
"36","UCP2","uncoupling protein 2 (mitochondrial, proton carrier)","16"
"37","CD80","CD80 molecule","15"
"38","MIF","macrophage migration inhibitory factor (glycosylation-inhibiting factor)","15"
"39","CD14","CD14 molecule","14"
"40","IL10","interleukin 10","14"
"41","ACD","adrenocortical dysplasia homolog (mouse)","13"
"42","CD69","CD69 molecule","13"
"43","FLI1","Friend leukemia virus integration 1","13"
"44","CCL7","chemokine (C-C motif) ligand 7","12"
"45","CCR2","chemokine (C-C motif) receptor 2","12"
"46","FCN2","ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)","12"
"47","IRF4","interferon regulatory factor 4","12"
"48","LTA","lymphotoxin alpha (TNF superfamily, member 1)","12"
"49","CCL3","chemokine (C-C motif) ligand 3","11"
"50","CCL4","chemokine (C-C motif) ligand 4","11"
"51","CCS","copper chaperone for superoxide dismutase","11"
"52","F2","coagulation factor II (thrombin)","11"
"53","HLA-DRB1","major histocompatibility complex, class II, DR beta 1","11"
"54","HR","hair growth associated","11"
"55","MMP9","matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)","11"
"56","STAT6","signal transducer and activator of transcription 6, interleukin-4 induced","11"
"57","TLR3","toll-like receptor 3","11"
"58","CXCL9","chemokine (C-X-C motif) ligand 9","10"
"59","DUSP4","dual specificity phosphatase 4","10"
"60","MPL","myeloproliferative leukemia virus oncogene","10"
"61","SLN","sarcolipin","10"
"62","TLR7","toll-like receptor 7","10"
"63","CD68","CD68 molecule","9"
"64","FH","fumarate hydratase","9"
"65","PON1","paraoxonase 1","9"
"66","VAMP8","vesicle-associated membrane protein 8","9"
"67","AIM2","absent in melanoma 2","8"
"68","FOXP3","forkhead box P3","8"
"69","GPI","glucose-6-phosphate isomerase","8"
"70","HLA-G","major histocompatibility complex, class I, G","8"
"71","IFNG","interferon, gamma","8"
"72","TLR1","toll-like receptor 1","8"
"73","APC","adenomatous polyposis coli","7"
"74","CAMP","cathelicidin antimicrobial peptide","7"
"75","CD200","CD200 molecule","7"
"76","CXCL16","chemokine (C-X-C motif) ligand 16","7"
"77","CXCR2","chemokine (C-X-C motif) receptor 2","7"
"78","EGF","epidermal growth factor","7"
"79","EGFR","epidermal growth factor receptor","7"
"80","MBL2","mannose-binding lectin (protein C) 2, soluble","7"
"81","MCM4","minichromosome maintenance complex component 4","7"
"82","PCNA","proliferating cell nuclear antigen","7"
"83","VDR","vitamin D (1,25- dihydroxyvitamin D3) receptor","7"
"84","CCL8","chemokine (C-C motif) ligand 8","6"
"85","CCL17","chemokine (C-C motif) ligand 17","6"
"86","CD2","CD2 molecule","6"
"87","FAU","Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed","6"
"88","ITK","IL2-inducible T-cell kinase","6"
"89","IVL","involucrin","6"
"90","MAX","MYC associated factor X","6"
"91","SDS","serine dehydratase","6"
"92","SNX9","sorting nexin 9","6"
"93","SOD1","superoxide dismutase 1, soluble","6"
"94","TF","transferrin","6"
"95","TLR6","toll-like receptor 6","6"
"96","ABCA3","ATP-binding cassette, sub-family A (ABC1), member 3","5"
"97","ASL","argininosuccinate lyase","5"
"98","BID","BH3 interacting domain death agonist","5"
"99","C5","complement component 5","5"
"100","CD58","CD58 molecule","5"
"101","CXCL1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","5"
"102","CXCL13","chemokine (C-X-C motif) ligand 13","5"
"103","DUSP1","dual specificity phosphatase 1","5"
"104","F5","coagulation factor V (proaccelerin, labile factor)","5"
"105","FAS","Fas (TNF receptor superfamily, member 6)","5"
"106","GAPDH","glyceraldehyde-3-phosphate dehydrogenase","5"
"107","IL4","interleukin 4","5"
"108","IL6","interleukin 6 (interferon, beta 2)","5"
"109","IPP","intracisternal A particle-promoted polypeptide","5"
"110","JAK2","Janus kinase 2","5"
"111","LAMP1","lysosomal-associated membrane protein 1","5"
"112","MPO","myeloperoxidase","5"
"113","NOD2","nucleotide-binding oligomerization domain containing 2","5"
"114","PAH","phenylalanine hydroxylase","5"
"115","PC","pyruvate carboxylase","5"
"116","SMAD2","SMAD family member 2","5"
"117","SMAD7","SMAD family member 7","5"
"118","SOCS3","suppressor of cytokine signaling 3","5"
"119","SRI","sorcin","5"
"120","STAT4","signal transducer and activator of transcription 4","5"
"121","UNC93B1","unc-93 homolog B1 (C. elegans)","5"
"122","AFM","afamin","4"
"123","CA4","carbonic anhydrase IV","4"
"124","CASP1","caspase 1, apoptosis-related cysteine peptidase","4"
"125","CD38","CD38 molecule","4"
"126","CXCR1","chemokine (C-X-C motif) receptor 1","4"
"127","CXCR3","chemokine (C-X-C motif) receptor 3","4"
"128","CYP2C9","cytochrome P450, family 2, subfamily C, polypeptide 9","4"
"129","DUSP6","dual specificity phosphatase 6","4"
"130","EMB","embigin","4"
"131","FAM120B","family with sequence similarity 120B","4"
"132","GNLY","granulysin","4"
"133","HDAC1","histone deacetylase 1","4"
"134","HLA-B","major histocompatibility complex, class I, B","4"
"135","JAK3","Janus kinase 3","4"
"136","MAPK1","mitogen-activated protein kinase 1","4"
