"","Gene_symbol","   Genes","Freq"
"1","T","T, brachyury homolog (mouse)","99"
"2","STH","saitohin","95"
"3","CP","ceruloplasmin (ferroxidase)","32"
"4","ALB","albumin","21"
"5","PC","pyruvate carboxylase","20"
"6","TLR2","toll-like receptor 2","11"
"7","DDT","D-dopachrome tautomerase","10"
"8","CHIT1","chitinase 1 (chitotriosidase)","9"
"9","DHFR","dihydrofolate reductase","7"
"10","SMS","spermine synthase","6"
"11","CD4","CD4 molecule","5"
"12","HMGB1","high mobility group box 1","5"
"13","MBL2","mannose-binding lectin (protein C) 2, soluble","4"
"14","PRL","prolactin","4"
"15","TLR4","toll-like receptor 4","4"
"16","CAD","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase","3"
"17","CTLA4","cytotoxic T-lymphocyte-associated protein 4","3"
"18","CXCL12","chemokine (C-X-C motif) ligand 12","3"
"19","FLT4","fms-related tyrosine kinase 4","3"
"20","FOXC2","forkhead box C2 (MFH-1, mesenchyme forkhead 1)","3"
"21","GC","group-specific component (vitamin D binding protein)","3"
"22","C3","complement component 3","2"
"23","CD40","CD40 molecule, TNF receptor superfamily member 5","2"
"24","CD69","CD69 molecule","2"
"25","CD86","CD86 molecule","2"
"26","F10","coagulation factor X","2"
"27","GAPDH","glyceraldehyde-3-phosphate dehydrogenase","2"
"28","HBM","hemoglobin, mu","2"
"29","HLF","hepatic leukemia factor","2"
"30","NHS","Nance-Horan syndrome (congenital cataracts and dental anomalies)","2"
"31","SI","sucrase-isomaltase (alpha-glucosidase)","2"
"32","TLR6","toll-like receptor 6","2"
"33","AFM","afamin","1"
"34","AGT","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","1"
"35","CCL13","chemokine (C-C motif) ligand 13","1"
"36","CCR5","chemokine (C-C motif) receptor 5 (gene/pseudogene)","1"
"37","CD28","CD28 molecule","1"
"38","CD34","CD34 molecule","1"
"39","CD80","CD80 molecule","1"
"40","F8","coagulation factor VIII, procoagulant component","1"
"41","FADD","Fas (TNFRSF6)-associated via death domain","1"
"42","GK","glycerol kinase","1"
"43","GLA","galactosidase, alpha","1"
"44","HR","hair growth associated","1"
"45","IL5","interleukin 5 (colony-stimulating factor, eosinophil)","1"
"46","IMPACT","impact RWD domain protein","1"
"47","IRF1","interferon regulatory factor 1","1"
"48","IRF3","interferon regulatory factor 3","1"
"49","KL","klotho","1"
"50","KY","kyphoscoliosis peptidase","1"
"51","MCAM","melanoma cell adhesion molecule","1"
"52","MMP9","matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)","1"
"53","MPO","myeloperoxidase","1"
"54","MYD88","myeloid differentiation primary response 88","1"
"55","PTEN","phosphatase and tensin homolog","1"
"56","PTS","6-pyruvoyltetrahydropterin synthase","1"
"57","S100A8","S100 calcium binding protein A8","1"
"58","S100A9","S100 calcium binding protein A9","1"
"59","SSB","Sjogren syndrome antigen B (autoantigen La)","1"
"60","TGM2","transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)","1"
"61","TLR9","toll-like receptor 9","1"
"62","TNF","tumor necrosis factor","1"
