"","Gene_symbol","   Genes","Freq"
"1","CCL5","chemokine (C-C motif) ligand 5","11"
"2","T","T, brachyury homolog (mouse)","11"
"3","TLR2","toll-like receptor 2","6"
"4","TLR4","toll-like receptor 4","5"
"5","COMT","catechol-O-methyltransferase","3"
"6","CD14","CD14 molecule","2"
"7","NHS","Nance-Horan syndrome (congenital cataracts and dental anomalies)","2"
"8","PPID","peptidylprolyl isomerase D","2"
"9","SMS","spermine synthase","2"
"10","CD4","CD4 molecule","1"
"11","CD40","CD40 molecule, TNF receptor superfamily member 5","1"
"12","CD80","CD80 molecule","1"
"13","CR1","complement component (3b/4b) receptor 1 (Knops blood group)","1"
"14","DHODH","dihydroorotate dehydrogenase (quinone)","1"
"15","NOS2","nitric oxide synthase 2, inducible","1"
"16","RBP2","retinol binding protein 2, cellular","1"
"17","STH","saitohin","1"
"18","TLR6","toll-like receptor 6","1"
"19","TRH","thyrotropin-releasing hormone","1"
