"","Gene_symbol","   Genes","Freq"
"1","T","T, brachyury homolog (mouse)","30"
"2","STH","saitohin","22"
"3","ALB","albumin","11"
"4","PC","pyruvate carboxylase","7"
"5","CTRL","chymotrypsin-like","5"
"6","PTS","6-pyruvoyltetrahydropterin synthase","5"
"7","APOD","apolipoprotein D","4"
"8","CP","ceruloplasmin (ferroxidase)","3"
"9","CYP3A4","cytochrome P450, family 3, subfamily A, polypeptide 4","3"
"10","PAK1","p21 protein (Cdc42/Rac)-activated kinase 1","3"
"11","TLR6","toll-like receptor 6","3"
"12","C3","complement component 3","2"
"13","CD4","CD4 molecule","2"
"14","ECD","ecdysoneless homolog (Drosophila)","2"
"15","MCAM","melanoma cell adhesion molecule","2"
"16","SHBG","sex hormone-binding globulin","2"
"17","C2","complement component 2","1"
"18","CCL24","chemokine (C-C motif) ligand 24","1"
"19","CD48","CD48 molecule","1"
"20","CD69","CD69 molecule","1"
"21","CXCL10","chemokine (C-X-C motif) ligand 10","1"
"22","EGF","epidermal growth factor","1"
"23","HLA-A","major histocompatibility complex, class I, A","1"
"24","HLA-C","major histocompatibility complex, class I, C","1"
"25","HLA-DQA1","major histocompatibility complex, class II, DQ alpha 1","1"
"26","HLA-DQB1","major histocompatibility complex, class II, DQ beta 1","1"
"27","HLA-DRB1","major histocompatibility complex, class II, DR beta 1","1"
"28","HR","hair growth associated","1"
"29","IMPACT","impact RWD domain protein","1"
"30","IVD","isovaleryl-CoA dehydrogenase","1"
"31","PIR","pirin (iron-binding nuclear protein)","1"
"32","SI","sucrase-isomaltase (alpha-glucosidase)","1"
"33","SPR","sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)","1"
"34","TLR4","toll-like receptor 4","1"
"35","TNF","tumor necrosis factor","1"
