"","Gene_symbol","   Genes","Freq"
"1","T","T, brachyury homolog (mouse)","174"
"2","CA1","carbonic anhydrase I","22"
"3","CS","citrate synthase","17"
"4","HR","hair growth associated","17"
"5","CA3","carbonic anhydrase III, muscle specific","15"
"6","TLR7","toll-like receptor 7","15"
"7","MALT1","mucosa associated lymphoid tissue lymphoma translocation gene 1","13"
"8","CXCL10","chemokine (C-X-C motif) ligand 10","12"
"9","HMGB1","high mobility group box 1","12"
"10","MB","myoglobin","11"
"11","POMC","proopiomelanocortin","11"
"12","PTEN","phosphatase and tensin homolog","11"
"13","CCL5","chemokine (C-C motif) ligand 5","10"
"14","LEP","leptin","10"
"15","GC","group-specific component (vitamin D binding protein)","9"
"16","ISG15","ISG15 ubiquitin-like modifier","9"
"17","NHS","Nance-Horan syndrome (congenital cataracts and dental anomalies)","9"
"18","SAMD9L","sterile alpha motif domain containing 9-like","9"
"19","CXCL13","chemokine (C-X-C motif) ligand 13","8"
"20","MIP","major intrinsic protein of lens fiber","8"
"21","NTS","neurotensin","8"
"22","SARS","seryl-tRNA synthetase","8"
"23","SMS","spermine synthase","8"
"24","SST","somatostatin","8"
"25","ARC","activity-regulated cytoskeleton-associated protein","7"
"26","BDNF","brain-derived neurotrophic factor","7"
"27","CD4","CD4 molecule","7"
"28","TNR","tenascin R","7"
"29","UBA7","ubiquitin-like modifier activating enzyme 7","7"
"30","AFP","alpha-fetoprotein","6"
"31","APC","adenomatous polyposis coli","6"
"32","CFB","complement factor B","6"
"33","DLC1","deleted in liver cancer 1","6"
"34","FUS","fused in sarcoma","6"
"35","IRF3","interferon regulatory factor 3","6"
"36","PFDN1","prefoldin subunit 1","6"
"37","PML","promyelocytic leukemia","6"
"38","CCK","cholecystokinin","5"
"39","CCL2","chemokine (C-C motif) ligand 2","5"
"40","CP","ceruloplasmin (ferroxidase)","5"
"41","CRH","corticotropin releasing hormone","5"
"42","DBI","diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)","5"
"43","DYNLL1","dynein, light chain, LC8-type 1","5"
"44","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","5"
"45","STAT1","signal transducer and activator of transcription 1, 91kDa","5"
"46","STAT3","signal transducer and activator of transcription 3 (acute-phase response factor)","5"
"47","TG","thyroglobulin","5"
"48","ZP3","zona pellucida glycoprotein 3 (sperm receptor)","5"
"49","AFM","afamin","4"
"50","CD40","CD40 molecule, TNF receptor superfamily member 5","4"
