"","Gene_symbol","   Genes","Freq"
"1","STH","saitohin","1127"
"2","T","T, brachyury homolog (mouse)","288"
"3","PC","pyruvate carboxylase","43"
"4","ALB","albumin","15"
"5","AR","androgen receptor","6"
"6","CD4","CD4 molecule","5"
"7","CIT","citron (rho-interacting, serine/threonine kinase 21)","3"
"8","CP","ceruloplasmin (ferroxidase)","3"
"9","S100A12","S100 calcium binding protein A12","3"
"10","CS","citrate synthase","2"
"11","CYP1A2","cytochrome P450, family 1, subfamily A, polypeptide 2","2"
"12","CYP2D6","cytochrome P450, family 2, subfamily D, polypeptide 6","2"
"13","MB","myoglobin","2"
"14","POR","P450 (cytochrome) oxidoreductase","2"
"15","APC","adenomatous polyposis coli","1"
"16","CCL23","chemokine (C-C motif) ligand 23","1"
"17","CCR5","chemokine (C-C motif) receptor 5 (gene/pseudogene)","1"
"18","CRP","C-reactive protein, pentraxin-related","1"
"19","CYP2C9","cytochrome P450, family 2, subfamily C, polypeptide 9","1"
"20","CYP2C19","cytochrome P450, family 2, subfamily C, polypeptide 19","1"
"21","CYP3A4","cytochrome P450, family 3, subfamily A, polypeptide 4","1"
"22","HRK","harakiri, BCL2 interacting protein (contains only BH3 domain)","1"
"23","IVD","isovaleryl-CoA dehydrogenase","1"
"24","PI3","peptidase inhibitor 3, skin-derived","1"
"25","RNASE2","ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)","1"
"26","RNASE3","ribonuclease, RNase A family, 3","1"
