"","Gene_symbol","   Genes","Freq"
"1","T","T, brachyury homolog (mouse)","328"
"2","TLR4","toll-like receptor 4","12"
"3","GSTM1","glutathione S-transferase mu 1","6"
"4","GSTT1","glutathione S-transferase theta 1","5"
"5","NHS","Nance-Horan syndrome (congenital cataracts and dental anomalies)","5"
"6","CD4","CD4 molecule","4"
"7","CCL2","chemokine (C-C motif) ligand 2","3"
"8","F2","coagulation factor II (thrombin)","3"
"9","GSTM3","glutathione S-transferase mu 3 (brain)","3"
"10","REL","v-rel reticuloendotheliosis viral oncogene homolog (avian)","3"
"11","RS1","retinoschisin 1","3"
"12","SLAMF1","signaling lymphocytic activation molecule family member 1","3"
"13","ALB","albumin","2"
"14","C5","complement component 5","2"
"15","CCL5","chemokine (C-C motif) ligand 5","2"
"16","CP","ceruloplasmin (ferroxidase)","2"
"17","DTNB","dystrobrevin, beta","2"
"18","F3","coagulation factor III (thromboplastin, tissue factor)","2"
"19","ORAI1","ORAI calcium release-activated calcium modulator 1","2"
"20","TG","thyroglobulin","2"
"21","TRAF1","TNF receptor-associated factor 1","2"
"22","TRPC1","transient receptor potential cation channel, subfamily C, member 1","2"
"23","TSPO","translocator protein (18kDa)","2"
"24","ADC","arginine decarboxylase","1"
"25","C2","complement component 2","1"
"26","CA1","carbonic anhydrase I","1"
"27","CA2","carbonic anhydrase II","1"
"28","CA3","carbonic anhydrase III, muscle specific","1"
"29","CCL3","chemokine (C-C motif) ligand 3","1"
"30","CD14","CD14 molecule","1"
"31","DCC","deleted in colorectal carcinoma","1"
"32","F12","coagulation factor XII (Hageman factor)","1"
"33","FGF2","fibroblast growth factor 2 (basic)","1"
"34","GSTP1","glutathione S-transferase pi 1","1"
"35","IL5","interleukin 5 (colony-stimulating factor, eosinophil)","1"
"36","KY","kyphoscoliosis peptidase","1"
"37","MLN","motilin","1"
"38","MRC1","mannose receptor, C type 1","1"
"39","NNT","nicotinamide nucleotide transhydrogenase","1"
"40","RUNX3","runt-related transcription factor 3","1"
"41","SLAMF9","SLAM family member 9","1"
"42","SLN","sarcolipin","1"
"43","TLR2","toll-like receptor 2","1"
"44","TNFRSF25","tumor necrosis factor receptor superfamily, member 25","1"
