"","Gene_symbol","   Genes","Freq"
"1","TF","transferrin","265"
"2","STH","saitohin","26"
"3","T","T, brachyury homolog (mouse)","22"
"4","S100A7","S100 calcium binding protein A7","13"
"5","CXCL5","chemokine (C-X-C motif) ligand 5","11"
"6","CTGF","connective tissue growth factor","9"
"7","NHS","Nance-Horan syndrome (congenital cataracts and dental anomalies)","9"
"8","TLR4","toll-like receptor 4","8"
"9","MMP9","matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)","7"
"10","TLR2","toll-like receptor 2","7"
"11","CS","citrate synthase","6"
"12","DSTN","destrin (actin depolymerizing factor)","6"
"13","IL17A","interleukin 17A","6"
"14","TG","thyroglobulin","6"
"15","IL1B","interleukin 1, beta","5"
"16","MICA","MHC class I polypeptide-related sequence A","5"
"17","AMT","aminomethyltransferase","4"
"18","CCL18","chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)","4"
"19","DES","desmin","4"
"20","ECD","ecdysoneless homolog (Drosophila)","4"
"21","MMP7","matrix metallopeptidase 7 (matrilysin, uterine)","4"
"22","MMP12","matrix metallopeptidase 12 (macrophage elastase)","4"
"23","TRA","T cell receptor alpha locus","4"
"24","CD83","CD83 molecule","3"
"25","GC","group-specific component (vitamin D binding protein)","3"
"26","KLRC2","killer cell lectin-like receptor subfamily C, member 2","3"
"27","KLRD1","killer cell lectin-like receptor subfamily D, member 1","3"
"28","MDM2","MDM2 oncogene, E3 ubiquitin protein ligase","3"
"29","CCL5","chemokine (C-C motif) ligand 5","2"
"30","CEACAM5","carcinoembryonic antigen-related cell adhesion molecule 5","2"
"31","IL13","interleukin 13","2"
"32","IL23A","interleukin 23, alpha subunit p19","2"
"33","PC","pyruvate carboxylase","2"
"34","POR","P450 (cytochrome) oxidoreductase","2"
"35","PVR","poliovirus receptor","2"
"36","SPARCL1","SPARC-like 1 (hevin)","2"
"37","ABCA1","ATP-binding cassette, sub-family A (ABC1), member 1","1"
"38","AR","androgen receptor","1"
"39","C2","complement component 2","1"
"40","CCL20","chemokine (C-C motif) ligand 20","1"
"41","CCR5","chemokine (C-C motif) receptor 5 (gene/pseudogene)","1"
"42","CD4","CD4 molecule","1"
"43","CD68","CD68 molecule","1"
"44","CD69","CD69 molecule","1"
"45","CDS2","CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2","1"
"46","CEL","carboxyl ester lipase","1"
"47","CXCL1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","1"
"48","CXCL2","chemokine (C-X-C motif) ligand 2","1"
"49","CXCL3","chemokine (C-X-C motif) ligand 3","1"
"50","CXCL13","chemokine (C-X-C motif) ligand 13","1"
"51","FAS","Fas (TNF receptor superfamily, member 6)","1"
"52","FOXP3","forkhead box P3","1"
"53","HLA-C","major histocompatibility complex, class I, C","1"
"54","IFNG","interferon, gamma","1"
"55","IL13RA2","interleukin 13 receptor, alpha 2","1"
"56","IL19","interleukin 19","1"
"57","IL22","interleukin 22","1"
"58","IMPACT","impact RWD domain protein","1"
"59","KIR2DL3","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3","1"
"60","MIP","major intrinsic protein of lens fiber","1"
"61","MMP1","matrix metallopeptidase 1 (interstitial collagenase)","1"
"62","NCR1","natural cytotoxicity triggering receptor 1","1"
"63","NLRP3","NLR family, pyrin domain containing 3","1"
"64","RFX5","regulatory factor X, 5 (influences HLA class II expression)","1"
"65","SOCS3","suppressor of cytokine signaling 3","1"
"66","TLR1","toll-like receptor 1","1"
"67","TLR3","toll-like receptor 3","1"
"68","TNFAIP3","tumor necrosis factor, alpha-induced protein 3","1"
