"","Gene_symbol","   Genes","Freq"
"1","T","T, brachyury homolog (mouse)","36"
"2","NTM","neurotrimin","12"
"3","CD4","CD4 molecule","8"
"4","TNF","tumor necrosis factor","5"
"5","MPO","myeloperoxidase","4"
"6","PC","pyruvate carboxylase","4"
"7","SLC11A1","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1","4"
"8","ATF4","activating transcription factor 4 (tax-responsive enhancer element B67)","3"
"9","EGFR","epidermal growth factor receptor","3"
"10","NHS","Nance-Horan syndrome (congenital cataracts and dental anomalies)","3"
"11","ATG16L1","autophagy related 16-like 1 (S. cerevisiae)","2"
"12","IFNG","interferon, gamma","2"
"13","NOD2","nucleotide-binding oligomerization domain containing 2","2"
"14","PARK2","parkinson protein 2, E3 ubiquitin protein ligase (parkin)","2"
"15","TERT","telomerase reverse transcriptase","2"
"16","ACE","angiotensin I converting enzyme (peptidyl-dipeptidase A) 1","1"
"17","ATF6","activating transcription factor 6","1"
"18","BCL2L11","BCL2-like 11 (apoptosis facilitator)","1"
"19","C3","complement component 3","1"
"20","C6","complement component 6","1"
"21","CIC","capicua transcriptional repressor","1"
"22","CP","ceruloplasmin (ferroxidase)","1"
"23","CR1","complement component (3b/4b) receptor 1 (Knops blood group)","1"
"24","CRP","C-reactive protein, pentraxin-related","1"
"25","GC","group-specific component (vitamin D binding protein)","1"
"26","PGC","progastricsin (pepsinogen C)","1"
"27","STH","saitohin","1"
"28","TH","tyrosine hydroxylase","1"
