"","Gene_symbol","   Genes","Freq"
"1","T","T, brachyury homolog (mouse)","577"
"2","CRP","C-reactive protein, pentraxin-related","49"
"3","CP","ceruloplasmin (ferroxidase)","46"
"4","MIF","macrophage migration inhibitory factor (glycosylation-inhibiting factor)","43"
"5","DDT","D-dopachrome tautomerase","40"
"6","TLR4","toll-like receptor 4","31"
"7","TNF","tumor necrosis factor","28"
"8","CLEC5A","C-type lectin domain family 5, member A","23"
"9","CD4","CD4 molecule","22"
"10","NLRP3","NLR family, pyrin domain containing 3","22"
"11","STAT2","signal transducer and activator of transcription 2, 113kDa","22"
"12","TLR3","toll-like receptor 3","22"
"13","VWF","von Willebrand factor","22"
"14","CD209","CD209 molecule","18"
"15","CS","citrate synthase","17"
"16","HMGB1","high mobility group box 1","17"
"17","IL10","interleukin 10","17"
"18","CXCL10","chemokine (C-X-C motif) ligand 10","16"
"19","MICB","MHC class I polypeptide-related sequence B","16"
"20","DDX3X","DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked","15"
"21","SI","sucrase-isomaltase (alpha-glucosidase)","15"
"22","CCR5","chemokine (C-C motif) receptor 5 (gene/pseudogene)","14"
"23","IFITM3","interferon induced transmembrane protein 3","14"
"24","SARS","seryl-tRNA synthetase","14"
"25","PLCE1","phospholipase C, epsilon 1","13"
"26","MBL2","mannose-binding lectin (protein C) 2, soluble","12"
"27","G6PD","glucose-6-phosphate dehydrogenase","11"
"28","HMGCR","3-hydroxy-3-methylglutaryl-CoA reductase","11"
"29","MAGT1","magnesium transporter 1","11"
"30","MIA","melanoma inhibitory activity","11"
"31","STAT1","signal transducer and activator of transcription 1, 91kDa","11"
"32","AES","amino-terminal enhancer of split","10"
"33","CD86","CD86 molecule","10"
"34","IL6","interleukin 6 (interferon, beta 2)","10"
"35","NHS","Nance-Horan syndrome (congenital cataracts and dental anomalies)","10"
"36","TLR2","toll-like receptor 2","10"
"37","ABO","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","9"
"38","CCL2","chemokine (C-C motif) ligand 2","9"
"39","CIC","capicua transcriptional repressor","9"
"40","GC","group-specific component (vitamin D binding protein)","9"
"41","HR","hair growth associated","9"
"42","OAS2","2'-5'-oligoadenylate synthetase 2, 69/71kDa","9"
"43","QKI","QKI, KH domain containing, RNA binding","9"
"44","SOCS1","suppressor of cytokine signaling 1","9"
"45","C3","complement component 3","8"
"46","DBP","D site of albumin promoter (albumin D-box) binding protein","8"
"47","DDX58","DEAD (Asp-Glu-Ala-Asp) box polypeptide 58","8"
"48","GAK","cyclin G associated kinase","8"
"49","HLA-E","major histocompatibility complex, class I, E","8"
"50","HSF1","heat shock transcription factor 1","8"
"51","IL8","interleukin 8","8"
"52","IRF7","interferon regulatory factor 7","8"
"53","MMP3","matrix metallopeptidase 3 (stromelysin 1, progelatinase)","8"
"54","RPS29","ribosomal protein S29","8"
"55","SMS","spermine synthase","8"
"56","STAT3","signal transducer and activator of transcription 3 (acute-phase response factor)","8"
"57","XAF1","XIAP associated factor 1","8"
"58","AAK1","AP2 associated kinase 1","7"
"59","CBLL1","Cbl proto-oncogene, E3 ubiquitin protein ligase-like 1","7"
"60","CCR1","chemokine (C-C motif) receptor 1","7"
"61","CD69","CD69 molecule","7"
"62","CFH","complement factor H","7"
"63","CXCR3","chemokine (C-X-C motif) receptor 3","7"
"64","DDC","dopa decarboxylase (aromatic L-amino acid decarboxylase)","7"
"65","IL1B","interleukin 1, beta","7"
"66","OAS1","2'-5'-oligoadenylate synthetase 1, 40/46kDa","7"
"67","PC","pyruvate carboxylase","7"
"68","SLA","Src-like-adaptor","7"
"69","STT3B","STT3B, subunit of the oligosaccharyltransferase complex (catalytic)","7"
"70","AUP1","ancient ubiquitous protein 1","6"
"71","CCL5","chemokine (C-C motif) ligand 5","6"
"72","CD38","CD38 molecule","6"
"73","CD80","CD80 molecule","6"
"74","FH","fumarate hydratase","6"
"75","HLA-A","major histocompatibility complex, class I, A","6"
"76","HPD","4-hydroxyphenylpyruvate dioxygenase","6"
"77","IFNG","interferon, gamma","6"
"78","LBP","lipopolysaccharide binding protein","6"
"79","MAVS","mitochondrial antiviral signaling protein","6"
"80","PML","promyelocytic leukemia","6"
"81","TLR8","toll-like receptor 8","6"
"82","AP2M1","adaptor-related protein complex 2, mu 1 subunit","5"
"83","AR","androgen receptor","5"
"84","CCR4","chemokine (C-C motif) receptor 4","5"
"85","DDX25","DEAD (Asp-Glu-Ala-Asp) box helicase 25","5"
"86","FAM134B","family with sequence similarity 134, member B","5"
"87","G3BP1","GTPase activating protein (SH3 domain) binding protein 1","5"
"88","IFI6","interferon, alpha-inducible protein 6","5"
"89","IMPACT","impact RWD domain protein","5"
"90","NCL","nucleolin","5"
"91","OAS3","2'-5'-oligoadenylate synthetase 3, 100kDa","5"
"92","SIRT6","sirtuin 6","5"
"93","SST","somatostatin","5"
"94","TLR7","toll-like receptor 7","5"
"95","TLR9","toll-like receptor 9","5"
"96","TRIM56","tripartite motif containing 56","5"
"97","XRN1","5'-3' exoribonuclease 1","5"
"98","ADAMTS13","ADAM metallopeptidase with thrombospondin type 1 motif, 13","4"
"99","AHR","aryl hydrocarbon receptor","4"
"100","ATM","ataxia telangiectasia mutated","4"
"101","BST2","bone marrow stromal cell antigen 2","4"
"102","CAMP","cathelicidin antimicrobial peptide","4"
"103","CCL4","chemokine (C-C motif) ligand 4","4"
"104","CCL8","chemokine (C-C motif) ligand 8","4"
"105","CD83","CD83 molecule","4"
"106","CD163","CD163 molecule","4"
"107","CPE","carboxypeptidase E","4"
"108","CXCL1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)","4"
"109","DGCR8","DiGeorge syndrome critical region gene 8","4"
"110","EZH2","enhancer of zeste homolog 2 (Drosophila)","4"
"111","FCGR3B","Fc fragment of IgG, low affinity IIIb, receptor (CD16b)","4"
"112","FCN2","ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)","4"
"113","GBP1","guanylate binding protein 1, interferon-inducible","4"
"114","HBM","hemoglobin, mu","4"
"115","IL6R","interleukin 6 receptor","4"
"116","IRF3","interferon regulatory factor 3","4"
"117","JAK1","Janus kinase 1","4"
"118","MAG","myelin associated glycoprotein","4"
"119","PDF","peptide deformylase (mitochondrial)","4"
"120","PF4","platelet factor 4","4"
"121","SCUBE1","signal peptide, CUB domain, EGF-like 1","4"
"122","SPR","sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)","4"
"123","TF","transferrin","4"
"124","XBP1","X-box binding protein 1","4"
"125","AFM","afamin","3"
"126","AMN","amnion associated transmembrane protein","3"
"127","C2","complement component 2","3"
"128","CCL3","chemokine (C-C motif) ligand 3","3"
"129","CCL17","chemokine (C-C motif) ligand 17","3"
"130","CCR2","chemokine (C-C motif) receptor 2","3"
"131","CCR7","chemokine (C-C motif) receptor 7","3"
"132","CD63","CD63 molecule","3"
"133","CHAT","choline O-acetyltransferase","3"
"134","CXCL12","chemokine (C-X-C motif) ligand 12","3"
"135","DDX21","DEAD (Asp-Glu-Ala-Asp) box helicase 21","3"
"136","DHODH","dihydroorotate dehydrogenase (quinone)","3"
"137","DPT","dermatopontin","3"
"138","HLA-B","major histocompatibility complex, class I, B","3"
"139","IFI27","interferon, alpha-inducible protein 27","3"
"140","IFNL1","interferon, lambda 1","3"
"141","KY","kyphoscoliosis peptidase","3"
"142","LAT","linker for activation of T cells","3"
"143","MPO","myeloperoxidase","3"
"144","RPSA","ribosomal protein SA","3"
"145","RTCA","RNA 3'-terminal phosphate cyclase","3"
"146","SIAH2","siah E3 ubiquitin protein ligase 2","3"
"147","STT3A","STT3A, subunit of the oligosaccharyltransferase complex (catalytic)","3"
"148","XIAP","X-linked inhibitor of apoptosis","3"
"149","ABCF1","ATP-binding cassette, sub-family F (GCN20), member 1","2"
"150","ACTB","actin, beta","2"
"151","AIM2","absent in melanoma 2","2"
"152","B2M","beta-2-microglobulin","2"
"153","BAK1","BCL2-antagonist/killer 1","2"
"154","BID","BH3 interacting domain death agonist","2"
"155","C9","complement component 9","2"
"156","CCL19","chemokine (C-C motif) ligand 19","2"
"157","CCL21","chemokine (C-C motif) ligand 21","2"
"158","CD14","CD14 molecule","2"
"159","CD27","CD27 molecule","2"
"160","CD44","CD44 molecule (Indian blood group)","2"
"161","CD81","CD81 molecule","2"
"162","CLTC","clathrin, heavy chain (Hc)","2"
"163","CX3CL1","chemokine (C-X3-C motif) ligand 1","2"
"164","CX3CR1","chemokine (C-X3-C motif) receptor 1","2"
"165","CXCL5","chemokine (C-X-C motif) ligand 5","2"
