"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL1250356";"Tumor necrosis factor receptor superfamily member 1B";"P20333";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL3713023";"Tumor necrosis factor ligand superfamily member 12";"O43508";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL3712857";"Tumor necrosis factor receptor superfamily member 9";"Q07011";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL3712850";"Tumor necrosis factor receptor superfamily member 12A";"Q9NP84";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL3831223";"Aminopeptidase";"P15144|P55786|Q9H4A4|P53582|Q9UIQ6|Q9ULA0|Q07075|Q9NQW7|P28838|P50579|O43895|Q6P179|Q9NZ08|Q6Q4G3|Q8N6M6|Q6UB28|Q8NDH3|Q9HAU8|Q9NQH7";"PROTEIN FAMILY";"Homo sapiens";"";"";"9606";"False"
"CHEMBL3712995";"Tumor necrosis factor receptor superfamily member 18";"Q9Y5U5";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL3713333";"CD27 antigen";"P26842";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL2364158";"Tumor necrosis factor ligand superfamily member 13B";"Q9Y275";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL3989383";"Tumor necrosis factor receptor superfamily member 4";"P43489";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL3712914";"Tumor necrosis factor ligand superfamily member 14";"O43557";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL3833421";"Heterotrimeric lymphotoxin LTa1b2";"P01374|Q06643";"PROTEIN COMPLEX";"Homo sapiens";"";"";"9606";"False"
"CHEMBL3713436";"Tumor necrosis factor ligand superfamily member 13";"O75888";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL3712913";"CD70 antigen";"P32970";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL3580491";"CD40 ligand";"P29965";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL2364161";"Tumor necrosis factor receptor superfamily member 8";"P28908";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL4106121";"MAC1-CD40L";"P05107|P11215|P29965";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"6";"6";"9606";"False"
"CHEMBL3712900";"Tumor necrosis factor ligand superfamily member 4";"P23510";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL2364162";"Tumor necrosis factor ligand superfamily member 11";"O14788";"SINGLE PROTEIN";"Homo sapiens";"3";"10";"9606";"False"
"CHEMBL1250360";"Tumor necrosis factor receptor superfamily member 3";"P36941";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL2059";"TNF-beta";"P01374";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL4106122";"CD40-CD40L";"P25942|P29965";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"11";"39";"9606";"False"
"CHEMBL3551";"TRAIL receptor-1";"O00220";"SINGLE PROTEIN";"Homo sapiens";"4";"4";"9606";"False"
"CHEMBL4296079";"Tumor necrosis factor ligand superfamily member 11/11A";"O35235|O35305";"PROTEIN-PROTEIN INTERACTION";"Mus musculus";"1";"1";"10090";"False"
