"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL4105853";"Rab-like protein 3";"Q5HYI8";"SINGLE PROTEIN";"Homo sapiens";"216";"216";"9606";"False"
"CHEMBL4105702";"Ras-related protein Rab-27A";"P51159";"SINGLE PROTEIN";"Homo sapiens";"222";"222";"9606";"False"
"CHEMBL2021753";"Kinesin-like protein KIF20A";"O95235";"SINGLE PROTEIN";"Homo sapiens";"40";"148";"9606";"False"
"CHEMBL2364678";"Bacterial enoyl-[acyl-carrier-protein] reductase";"P0AEK4";"SINGLE PROTEIN";"Bacteria";"";"";"2";"True"
"CHEMBL612720";"Didymella rabiei";"";"ORGANISM";"Didymella rabiei";"4";"17";"5454";"False"
"CHEMBL4105893";"Ras-related protein Rab-2A";"P61019";"SINGLE PROTEIN";"Homo sapiens";"1";"2";"9606";"False"
"CHEMBL4295884";"Hermansky-Pudlak syndrome 6 protein";"Q86YV9";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL4105703";"Ras-related protein Rab-6A";"P20340";"SINGLE PROTEIN";"Homo sapiens";"229";"229";"9606";"False"
"CHEMBL4106136";"DNA-PK/Ku70/Ku85";"P78527|P12956|P13010";"PROTEIN COMPLEX";"Homo sapiens";"23";"23";"9606";"False"
"CHEMBL1075044";"Enoyl-[acyl-carrier-protein] reductase [NADH]";"P54616";"SINGLE PROTEIN";"Bacillus subtilis (strain 168)";"28";"35";"224308";"False"
"CHEMBL4295905";"TBC1 domain family member 15";"Q8TC07";"SINGLE PROTEIN";"Homo sapiens";"1";"2";"9606";"False"
"CHEMBL4150";"Enoyl-acyl-carrier protein reductase";"Q965D5";"SINGLE PROTEIN";"Plasmodium falciparum";"207";"376";"5833";"False"
"CHEMBL3638341";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Q2FZQ3";"SINGLE PROTEIN";"Staphylococcus aureus (strain NCTC 8325)";"30";"31";"93061";"False"
"CHEMBL1293294";"Ras-related protein Rab-9A";"P51151";"SINGLE PROTEIN";"Homo sapiens";"21980";"22488";"9606";"False"
"CHEMBL5249";"Geranylgeranyl transferase type II alpha subunit";"Q92696";"SINGLE PROTEIN";"Homo sapiens";"2";"2";"9606";"False"
"CHEMBL1275211";"Enoyl-ACP reductase";"Q9BJJ9";"SINGLE PROTEIN";"Plasmodium falciparum";"19";"36";"5833";"False"
"CHEMBL4296097";"LIG4/XRCC4";"P49917|Q13426";"PROTEIN COMPLEX";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL4295856";"Mitogen-activated protein kinase kinase kinase kinase 2";"Q61161";"SINGLE PROTEIN";"Mus musculus";"4";"8";"10090";"False"
"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase";"Q6GI75";"SINGLE PROTEIN";"Staphylococcus aureus subsp. aureus MRSA252";"77";"80";"282458";"False"
"CHEMBL2367242";"Neofusicoccum ribis";"";"ORGANISM";"Neofusicoccum ribis";"10";"37";"45134";"False"
"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"P00519|Q13671";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"230";"230";"9606";"False"
"CHEMBL1687683";"Enoyl-ACP reductase";"Q5TKS5";"SINGLE PROTEIN";"Staphylococcus aureus";"62";"150";"1280";"False"
"CHEMBL2413";"C-C chemokine receptor type 1";"P32246";"SINGLE PROTEIN";"Homo sapiens";"976";"1426";"9606";"False"
"CHEMBL3885531";"C-C motif chemokine 5/Neutrophil defensin 1 (Defensin, alpha 1) ";"P13501|P59665";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"6";"7";"9606";"False"
"CHEMBL1857";"Enoyl-[acyl-carrier-protein] reductase";"P0AEK4";"SINGLE PROTEIN";"Escherichia coli K-12";"162";"194";"83333";"False"
"CHEMBL3879836";"Ras-related protein Rab-7L1";"O14966";"SINGLE PROTEIN";"Homo sapiens";"4";"5";"9606";"False"
"CHEMBL3879826";"Ras-related protein Rab-1A";"P62820";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL614628";"Raji";"";"CELL-LINE";"Homo sapiens";"3090";"4726";"9606";"False"
"CHEMBL4105784";"Ras-related protein Rab-7a";"P51149";"SINGLE PROTEIN";"Homo sapiens";"29";"127";"9606";"False"
"CHEMBL1275217";"C-C motif chemokine 5";"P13501";"SINGLE PROTEIN";"Homo sapiens";"35";"39";"9606";"False"
