"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL612792";"Leishmania enriettii";"";"ORGANISM";"Leishmania enriettii";"14";"18";"5663";"False"
"CHEMBL612651";"Leishmania aethiopica";"";"ORGANISM";"Leishmania aethiopica";"68";"121";"5667";"False"
"CHEMBL613213";"Leishmania garnhami";"";"ORGANISM";"Leishmania garnhami";"3";"3";"214612";"False"
"CHEMBL612241";"Leishmania sp.";"";"ORGANISM";"Leishmania sp.";"21";"21";"28847";"False"
"CHEMBL612793";"Leishmania guyanensis";"";"ORGANISM";"Leishmania guyanensis";"59";"83";"5670";"False"
"CHEMBL613214";"Leishmania mexicana mexicana";"";"ORGANISM";"Leishmania mexicana mexicana";"27";"27";"44270";"False"
"CHEMBL612914";"Leishmania pifanoi";"";"ORGANISM";"Leishmania pifanoi";"71";"86";"5682";"False"
"CHEMBL612913";"Leishmania mexicana venezuelensis";"";"ORGANISM";"Leishmania mexicana venezuelensis";"3";"3";"155283";"False"
"CHEMBL612915";"Leishmania tarentolae";"";"ORGANISM";"Leishmania tarentolae";"50";"58";"5689";"False"
"CHEMBL613212";"Leishmania donovani donovani";"";"ORGANISM";"Leishmania donovani donovani";"3";"3";"99875";"False"
"CHEMBL367";"Leishmania donovani";"";"ORGANISM";"Leishmania donovani";"7483";"15202";"5661";"False"
"CHEMBL612877";"Leishmania amazonensis";"";"ORGANISM";"Leishmania amazonensis";"1844";"3370";"5659";"False"
"CHEMBL612878";"Leishmania braziliensis";"";"ORGANISM";"Leishmania braziliensis";"497";"842";"5660";"False"
"CHEMBL612881";"Leishmania tropica";"";"ORGANISM";"Leishmania tropica";"134";"417";"5666";"False"
"CHEMBL612879";"Leishmania major";"";"ORGANISM";"Leishmania major";"1603";"2406";"5664";"False"
"CHEMBL612880";"Leishmania mexicana";"";"ORGANISM";"Leishmania mexicana";"514";"728";"5665";"False"
"CHEMBL613215";"Leishmania peruviana";"";"ORGANISM";"Leishmania peruviana";"26";"57";"5681";"False"
"CHEMBL612882";"Leishmania panamensis";"";"ORGANISM";"Leishmania panamensis";"142";"210";"5679";"False"
"CHEMBL613211";"Leishmania aristidesi";"";"ORGANISM";"Leishmania aristidesi";"3";"3";"521160";"False"
"CHEMBL2366686";"Leishmania";"";"ORGANISM";"Leishmania";"20";"21";"5658";"False"
"CHEMBL612848";"Leishmania infantum";"";"ORGANISM";"Leishmania infantum";"3158";"4410";"5671";"False"
"CHEMBL612790";"Leishmania chagasi";"";"ORGANISM";"Leishmania chagasi";"172";"388";"44271";"False"
