"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL3588739";"Histone-lysine N-methyltransferase ASH1L";"Q9NR48";"SINGLE PROTEIN";"Homo sapiens";"31";"32";"9606";"False"
"CHEMBL4295580";"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)";"P60472";"SINGLE PROTEIN";"Escherichia coli (strain K12)";"1";"1";"83333";"False"
"CHEMBL2390";"Glutathione S-transferase Ya-1";"P00502";"SINGLE PROTEIN";"Rattus norvegicus";"1";"1";"10116";"False"
"CHEMBL3179";"Tyrosyl-tRNA synthetase";"P54577";"SINGLE PROTEIN";"Homo sapiens";"274";"278";"9606";"False"
"CHEMBL3588738";"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific";"Q96L73";"SINGLE PROTEIN";"Homo sapiens";"10";"10";"9606";"False"
"CHEMBL3108647";"Histone-lysine N-methyltransferase SETD2";"Q9BYW2";"SINGLE PROTEIN";"Homo sapiens";"11";"11";"9606";"False"
"CHEMBL1949";"Cyclophilin A";"P62937";"SINGLE PROTEIN";"Homo sapiens";"356";"638";"9606";"False"
"CHEMBL614631";"RAW";"";"CELL-LINE";"Mus musculus";"106";"181";"10090";"False"
"CHEMBL3108646";"Histone-lysine N-methyltransferase NSD3";"Q9BZ95";"SINGLE PROTEIN";"Homo sapiens";"7";"7";"9606";"False"
"CHEMBL2366273";"A3-KAW";"";"CELL-LINE";"Homo sapiens";"129";"130";"9606";"False"
"CHEMBL3108645";"Histone-lysine N-methyltransferase NSD2";"O96028";"SINGLE PROTEIN";"Homo sapiens";"598";"599";"9606";"False"
"CHEMBL1075553";"OAW-28";"";"CELL-LINE";"Homo sapiens";"108";"110";"9606";"False"
"CHEMBL612814";"YAC-1";"";"CELL-LINE";"Mus musculus";"111";"251";"10090";"False"
"CHEMBL1075554";"OAW-42";"";"CELL-LINE";"Homo sapiens";"107";"109";"9606";"False"
