"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL3638365";"Amyloid beta A4 protein";"P08592";"SINGLE PROTEIN";"Rattus norvegicus";"43";"43";"10116";"False"
"CHEMBL2439943";"Huntingtin";"P51111";"SINGLE PROTEIN";"Rattus norvegicus";"4";"4";"10116";"False"
"CHEMBL3108660";"Von Hippel-Lindau disease tumor suppressor";"P40337";"SINGLE PROTEIN";"Homo sapiens";"39";"73";"9606";"False"
"CHEMBL1250362";"Huntingtin";"P42859";"SINGLE PROTEIN";"Mus musculus";"3";"8";"10090";"False"
"CHEMBL2321636";"SH2 domain-containing protein 1A";"O60880";"SINGLE PROTEIN";"Homo sapiens";"62";"128";"9606";"False"
"CHEMBL4296143";"von Hippel-Lindau disease tumor suppressor/Bromodomain-containing protein 2";"P25440|P40337";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL4296140";"von Hippel-Lindau disease tumor suppressor/Bromodomain-containing protein 4";"O60885|P40337";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"7";"9";"9606";"False"
"CHEMBL4296146";"von Hippel-Lindau disease tumor suppressor/Inhibitor of nuclear factor kappa-B kinase subunit epsilon";"Q14164|P40337";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL4296141";"von Hippel-Lindau disease tumor suppressor/Myc proto-oncogene protein";"P01106|P40337";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL5772";"Polycystin-1";"P98161";"SINGLE PROTEIN";"Homo sapiens";"4";"4";"9606";"False"
"CHEMBL4296149";"von Hippel-Lindau disease tumor suppressor/Elongin-B/Elongin-C/Bromodomain-containing protein 2";"P25440|P40337|Q15370|Q15369";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"9";"20";"9606";"False"
"CHEMBL4296121";"Baculoviral IAP repeat-containing protein 3/Huntingtin";"Q13489|P42858";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"3";"23";"9606";"False"
"CHEMBL5465";"Polycystin-2";"Q13563";"SINGLE PROTEIN";"Homo sapiens";"19";"19";"9606";"False"
"CHEMBL4296144";"von Hippel-Lindau disease tumor suppressor/Bromodomain-containing protein 3";"Q15059|P40337";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL4296117";"von Hippel-Lindau disease tumor suppressor/Elongin-C/Elongin-B/HIF1A";"Q16665|P40337|Q15370|Q15369";"PROTEIN COMPLEX";"Homo sapiens";"12";"14";"9606";"False"
"CHEMBL2487";"Beta amyloid A4 protein";"P05067";"SINGLE PROTEIN";"Homo sapiens";"3427";"6034";"9606";"False"
"CHEMBL4296150";"von Hippel-Lindau disease tumor suppressor/Elongin-B/Elongin-C/Bromodomain-containing protein 3";"Q15059|P40337|Q15370|Q15369";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"9";"22";"9606";"False"
"CHEMBL613736";"Newcastle disease virus";"";"ORGANISM";"Newcastle disease virus";"61";"78";"11176";"False"
"CHEMBL5514";"Huntingtin";"P42858";"SINGLE PROTEIN";"Homo sapiens";"18782";"19125";"9606";"False"
"CHEMBL4296142";"von Hippel-Lindau disease tumor suppressor/Steroid hormone receptor ERR1";"P11474|P40337";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL2176820";"Norrin";"P48744";"SINGLE PROTEIN";"Mus musculus";"2";"2";"10090";"False"
"CHEMBL4296139";"von Hippel-Lindau disease tumor suppressor/Receptor-interacting serine/threonine-protein kinase 2";"O43353|P40337";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"2";"3";"9606";"False"
"CHEMBL4296148";"von Hippel-Lindau disease tumor suppressor/Elongin-B/Elongin-C/Bromodomain-containing protein 4";"O60885|P40337|Q15370|Q15369";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"9";"42";"9606";"False"
"CHEMBL3301400";"Von Hippel-Lindau disease tumor suppressor/Elongin B/Elongin C";"P40337|Q15370|Q15369";"PROTEIN COMPLEX";"Homo sapiens";"37";"115";"9606";"False"
"CHEMBL4296147";"von Hippel-Lindau disease tumor suppressor/Serine/threonine-protein kinase TBK1";"Q9UHD2|P40337";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"34";"77";"9606";"False"
"CHEMBL1293266";"Nucleotide-binding oligomerization domain-containing protein 2";"Q9HC29";"SINGLE PROTEIN";"Homo sapiens";"776";"1141";"9606";"False"
