"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL2316";"Granzyme B";"P10144";"SINGLE PROTEIN";"Homo sapiens";"40";"44";"9606";"False"
"CHEMBL612465";"Human rhinovirus 6";"";"ORGANISM";"Human rhinovirus 6";"14";"16";"147681";"False"
"CHEMBL4008";"Human herpesvirus 3 deoxypyrimidine kinase";"Q6QCL9";"SINGLE PROTEIN";"Human herpesvirus 3";"54";"206";"10335";"False"
"CHEMBL613205";"Human papillomavirus type 16";"";"ORGANISM";"Human papillomavirus type 16";"65";"68";"333760";"False"
"CHEMBL4656";"Human papillomavirus regulatory protein E2";"P03120";"SINGLE PROTEIN";"Human papillomavirus type 16";"38";"38";"333760";"False"
"CHEMBL1912";"CAMPATH-1 antigen";"P31358";"SINGLE PROTEIN";"Homo sapiens";"";"";"9606";"False"
"CHEMBL5074";"Human immunodeficiency virus type 2 pol protein";"P88142";"SINGLE PROTEIN";"Human immunodeficiency virus 2";"30";"31";"11709";"False"
"CHEMBL3988561";"Human leukocyte antigen DR beta chain";"P04229|P79483|Q30167|Q30134|Q29974|P01912|Q9TQE0|Q95IE3|Q5Y7A7|P13760|P13761|Q30154|P01911|Q9GIY3|P20039|P13762";"PROTEIN FAMILY";"Homo sapiens";"";"";"9606";"False"
"CHEMBL612607";"Human rhinovirus 51";"";"ORGANISM";"Human rhinovirus 51";"3";"3";"185912";"False"
"CHEMBL3852";"Human immunodeficiency virus type 1 REV";"Q77YF8";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"11";"13";"11676";"False"
"CHEMBL2189122";"DnaJ homolog subfamily A member 1";"P31689";"SINGLE PROTEIN";"Homo sapiens";"246";"246";"9606";"False"
"CHEMBL3414";"Human herpesvirus 5 DNA polymerase";"P08546";"SINGLE PROTEIN";"Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)";"101";"104";"10360";"False"
"CHEMBL612475";"Human rhinovirus 30";"";"ORGANISM";"Human rhinovirus 30";"14";"16";"185901";"False"
"CHEMBL612779";"Human echovirus 6";"";"ORGANISM";"Human echovirus 6";"2";"3";"12062";"False"
"CHEMBL613737";"Human parainfluenza virus 2";"";"ORGANISM";"Human parainfluenza virus 2";"4";"4";"11212";"False"
"CHEMBL2363043";"Ephrin receptor";"P29317|P29323|P54756|P54764|P29322|Q9UF33|Q15375|P54753|P29320|P54762|P54760|P21709|O15197|Q5JZY3";"PROTEIN FAMILY";"Homo sapiens";"";"";"9606";"False"
"CHEMBL615087";"Human papillomavirus - 16";"";"ORGANISM";"Human papillomavirus 16";"35";"37";"337041";"False"
"CHEMBL3800";"Human immunodeficiency virus 1 nucleocapsid";"Q76059";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"2";"2";"11676";"False"
"CHEMBL2909";"Human immunodeficiency virus type I enhancer-binding protein 1";"P15822";"SINGLE PROTEIN";"Homo sapiens";"6";"35";"9606";"False"
"CHEMBL613717";"Human papillomavirus type 11";"";"ORGANISM";"Human papillomavirus type 11";"15";"15";"10580";"False"
"CHEMBL612372";"Human rhinovirus 50";"";"ORGANISM";"Human rhinovirus 50";"14";"16";"44132";"False"
"CHEMBL613837";"Human coronavirus 229E";"";"ORGANISM";"Human coronavirus 229E";"104";"140";"11137";"False"
"CHEMBL4295692";"HLA class I histocompatibility antigen, A-2 alpha chain";"P01892";"SINGLE PROTEIN";"Homo sapiens";"7";"7";"9606";"False"
"CHEMBL612526";"Human rhinovirus 25";"";"ORGANISM";"Human rhinovirus 25";"19";"21";"185898";"False"
"CHEMBL3518";"Human herpesvirus 1 protease";"P10210";"SINGLE PROTEIN";"Herpes simplex virus (type 1 / strain 17)";"35";"37";"10299";"False"
"CHEMBL612467";"Human rhinovirus 5";"";"ORGANISM";"Human rhinovirus 5";"20";"20";"147714";"False"
"CHEMBL612524";"Human rhinovirus 4";"";"ORGANISM";"Human rhinovirus 4";"13";"13";"185889";"False"
