"ChEMBL ID";"Name";"UniProt Accessions";"Type";"Organism";"Compounds";"Activities";"Tax ID";"Species Group Flag"
"CHEMBL4106129";"Keap1-p62";"Q14145|Q13501";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"10";"10";"9606";"False"
"CHEMBL3988606";"Transitional endoplasmic reticulum ATPase";"Q01853";"SINGLE PROTEIN";"Mus musculus";"53";"53";"10090";"False"
"CHEMBL6148";"Eukaryotic translation initiation factor 4E";"P63073";"SINGLE PROTEIN";"Mus musculus";"570";"633";"10090";"False"
"CHEMBL4295816";"Sequestosome-1";"Q13501";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL1914274";"Cytohesin-3";"P97696";"SINGLE PROTEIN";"Rattus norvegicus";"4";"5";"10116";"False"
"CHEMBL1293274";"Eukaryotic translation initiation factor 4H";"Q15056";"SINGLE PROTEIN";"Homo sapiens";"224";"242";"9606";"False"
"CHEMBL4295961";"Translation initiation factor eIF-2B subunit gamma";"Q9NR50";"SINGLE PROTEIN";"Homo sapiens";"1";"2";"9606";"False"
"CHEMBL2189148";"Interleukin-1 receptor type 1";"P13504";"SINGLE PROTEIN";"Mus musculus";"3";"5";"10090";"False"
"CHEMBL4105993";"MICOS complex subunit MIC25";"Q9BRQ6";"SINGLE PROTEIN";"Homo sapiens";"2";"2";"9606";"False"
"CHEMBL3885559";"Cystic fibrosis transmembrane conductance regulator/Golgi-associated PDZ and coiled-coil motif-containing protein";"P13569|Q9HD26";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"33";"34";"9606";"False"
"CHEMBL4295938";"Eukaryotic translation initiation factor 2A";"Q9BY44";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL1938213";"Eukaryotic translation initiation factor 2-alpha kinase 1";"Q9Z2R9";"SINGLE PROTEIN";"Mus musculus";"28";"86";"10090";"False"
"CHEMBL4105862";"Eukaryotic translation initiation factor 5A-1";"P63241";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL4296010";"Beclin-1";"Q14457";"SINGLE PROTEIN";"Homo sapiens";"1";"2";"9606";"False"
"CHEMBL1250406";"Translation factor GUF1, mitochondrial";"P46943";"SINGLE PROTEIN";"Saccharomyces cerevisiae S288c";"1";"1";"559292";"False"
"CHEMBL4295557";"Replicase polyprotein 1ab";"K9N7C7";"SINGLE PROTEIN";"Middle East respiratory syndrome-related coronavirus (isolate UnitedKingdom/H123990006/2012) (Betacoronavirus England 1) (Humancoronavirus EMC)";"12";"12";"1263720";"False"
"CHEMBL1959";"Interleukin-1 receptor";"P14778";"SINGLE PROTEIN";"Homo sapiens";"5";"5";"9606";"False"
"CHEMBL1770036";"Eukaryotic translation initiation factor 2 subunit 1";"Q6ZWX6";"SINGLE PROTEIN";"Mus musculus";"5";"5";"10090";"False"
"CHEMBL3763004";"Cytohesin-3";"O08967";"SINGLE PROTEIN";"Mus musculus";"4";"8";"10090";"False"
"CHEMBL4106128";"IL15-IL15 receptor";"P40933|Q13261";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"71";"108";"9606";"False"
"CHEMBL4270";"Matrix metalloproteinase 10";"P09238";"SINGLE PROTEIN";"Homo sapiens";"287";"340";"9606";"False"
"CHEMBL4296020";"Eukaryotic translation initiation factor 6";"P56537";"SINGLE PROTEIN";"Homo sapiens";"1";"2";"9606";"False"
"CHEMBL4105877";"MICOS complex subunit MIC19";"Q9NX63";"SINGLE PROTEIN";"Homo sapiens";"2";"2";"9606";"False"
"CHEMBL4105832";"Eukaryotic initiation factor 4A-III";"P38919";"SINGLE PROTEIN";"Homo sapiens";"80";"131";"9606";"False"
"CHEMBL5636";"Eukaryotic translation initiation factor 4E";"P29338";"SINGLE PROTEIN";"Oryctolagus cuniculus";"58";"93";"9986";"False"
"CHEMBL5509";"Rho-associated protein kinase 1";"Q63644";"SINGLE PROTEIN";"Rattus norvegicus";"2";"2";"10116";"False"
"CHEMBL3259466";"Cytohesin-3";"O43739";"SINGLE PROTEIN";"Homo sapiens";"7";"8";"9606";"False"
"CHEMBL613311";"Transmissible gastroenteritis virus";"";"ORGANISM";"Transmissible gastroenteritis virus";"46";"119";"11149";"False"
"CHEMBL5995";"Cytohesin-2";"Q99418";"SINGLE PROTEIN";"Homo sapiens";"19";"52";"9606";"False"
"CHEMBL3351214";"Eukaryotic translation initiation factor 4E-binding protein 1";"Q13541";"SINGLE PROTEIN";"Homo sapiens";"6";"24";"9606";"False"
"CHEMBL6030";"Eukaryotic translation initiation factor 2-alpha kinase 3";"Q9NZJ5";"SINGLE PROTEIN";"Homo sapiens";"295";"555";"9606";"False"
"CHEMBL4105946";"Eukaryotic translation initiation factor 2-alpha kinase 3";"Q9Z1Z1";"SINGLE PROTEIN";"Rattus norvegicus";"2";"6";"10116";"False"
"CHEMBL1255131";"Eukaryotic translation initiation factor 2 subunit 1";"P05198";"SINGLE PROTEIN";"Homo sapiens";"20";"22";"9606";"False"
"CHEMBL5358";"Eukaryotic translation initiation factor 2-alpha kinase 4";"Q9P2K8";"SINGLE PROTEIN";"Homo sapiens";"184";"230";"9606";"False"
"CHEMBL3706558";"eIF-2-alpha kinase activator GCN1";"Q92616";"SINGLE PROTEIN";"Homo sapiens";"4";"9";"9606";"False"
"CHEMBL4105852";"Eukaryotic translation initiation factor 5B";"O60841";"SINGLE PROTEIN";"Homo sapiens";"170";"170";"9606";"False"
"CHEMBL5785";"Interferon-induced, double-stranded RNA-activated protein kinase";"P19525";"SINGLE PROTEIN";"Homo sapiens";"241";"291";"9606";"False"
"CHEMBL1795121";"Interferon-induced, double-stranded RNA-activated protein kinase";"Q03963";"SINGLE PROTEIN";"Mus musculus";"3";"3";"10090";"False"
"CHEMBL283";"Matrix metalloproteinase 3";"P08254";"SINGLE PROTEIN";"Homo sapiens";"2691";"3272";"9606";"False"
"CHEMBL4295814";"Eukaryotic translation initiation factor 3 subunit I";"Q13347";"SINGLE PROTEIN";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL4296168";"Cereblon/GSPT1";"Q96SW2|P15170";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL1075077";"Translation initiation factor IF-3";"P0A707";"SINGLE PROTEIN";"Escherichia coli K-12";"1";"2";"83333";"False"
"CHEMBL4848";"Eukaryotic translation initation factor";"P06730";"SINGLE PROTEIN";"Homo sapiens";"332";"380";"9606";"False"
"CHEMBL6029";"Eukaryotic translation initiation factor 2-alpha kinase 1";"Q9BQI3";"SINGLE PROTEIN";"Homo sapiens";"386";"543";"9606";"False"
"CHEMBL5490";"Rho-associated protein kinase 2";"Q62868";"SINGLE PROTEIN";"Rattus norvegicus";"77";"88";"10116";"False"
"CHEMBL3430904";"Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET";"P07949|Q16204";"CHIMERIC PROTEIN";"Homo sapiens";"5";"11";"9606";"False"
"CHEMBL3308902";"Eukaryotic peptide chain release factor GTP-binding subunit";"P05453";"SINGLE PROTEIN";"Saccharomyces cerevisiae";"13";"44";"4932";"False"
"CHEMBL3231";"Rho-associated protein kinase 1";"Q13464";"SINGLE PROTEIN";"Homo sapiens";"3120";"4112";"9606";"False"
"CHEMBL2062352";"Eukaryotic translation initiation factor 3 subunit F";"O00303";"SINGLE PROTEIN";"Homo sapiens";"1";"3";"9606";"False"
"CHEMBL1075145";"Transitional endoplasmic reticulum ATPase";"P55072";"SINGLE PROTEIN";"Homo sapiens";"494";"646";"9606";"False"
"CHEMBL3751651";"Eukaryotic initiation factor 4A-III";"Q91VC3";"SINGLE PROTEIN";"Mus musculus";"2";"2";"10090";"False"
"CHEMBL4296109";"Sharpin/RBCK1/RNF31";"Q9H0F6|Q9BYM8|Q96EP0";"PROTEIN COMPLEX";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL2973";"Rho-associated protein kinase 2";"O75116";"SINGLE PROTEIN";"Homo sapiens";"4052";"5464";"9606";"False"
"CHEMBL4296088";"Eukaryotic translation initiation factor 4E/Eukaryotic translation initiation factor 4E-binding protein 1";"P06730|Q13541";"PROTEIN-PROTEIN INTERACTION";"Homo sapiens";"1";"1";"9606";"False"
"CHEMBL5118";"Replicase polyprotein 1ab";"P0C6X7";"SINGLE PROTEIN";"SARS coronavirus";"234";"378";"227859";"False"
"CHEMBL4105974";"Eukaryotic peptide chain release factor GTP-binding subunit ERF3B";"Q8IYD1";"SINGLE PROTEIN";"Homo sapiens";"54";"54";"9606";"False"
"CHEMBL2111321";"Matrix metalloproteinase (2 and 3)";"P08254|P08253";"SELECTIVITY GROUP";"Homo sapiens";"53";"56";"9606";"False"
"CHEMBL3308928";"Eukaryotic translation initiation factor 4B";"P23588";"SINGLE PROTEIN";"Homo sapiens";"1";"2";"9606";"False"
"CHEMBL2111459";"Rho-associated protein kinase";"O75116|Q13464";"PROTEIN FAMILY";"Homo sapiens";"105";"114";"9606";"False"
